titles,authors,dates,abstracts,urls,keys,texts
"Cloud Computing and Computer Forensic, Page","Ludwig Slusky, Parviz Partow-navid, Mohit Doshi",nan,"Cloud computing and computer forensics for business applications The paper reviews issues related to teaching computer forensics with Cloud Computing. It examines the key issues that Computer Forensics is facing today and the challenges and opportunities that Cloud Computing brings for computer forensics. Computing can be seen in all basic tasks of Computer Forensic Investigation: Data Acquisition and Validation, Bookmaking data, File Signature Analysis and Hash Analysis, Analysis of Data, securing evidence files and reporting. Colleges and university are beginning to identify and manage applications and services available through Cloud Computing. For example, Ohio State University and many other universities (Indiana University 2009 Teaching, administrative support, and research. IBM and Google had started programs on college campuses to promote computer known as “clouds” Teaching Computer Forensics in Cloud Computing environment offers opportunities far beyond traditional computer forensics at the advance edge of technological innovations.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.475.6470&rep=rep1&type=pdf,"['cloud computing', 'computer forensics', 'computer forensic', 'key issue', 'traditional computer forensics', 'college campus', 'computer forensic investigation', 'business application', 'file signature analysis', 'cloud computing environment offer opportunity', 'hash analysis', 'data acquisition', 'basic task', 'indiana university', 'technological innovation', 'ohio state university', 'administrative support', 'evidence file', 'advance edge', 'bookmaking data', 'many university']",
Exploring the limits of cloud computing,Victor Delgado,2010,"Cloud computing is a new computing paradigm that, just as electricity was firstly gener-ated at home and evolved to be supplied from a few utility providers, aims to transform com-puting into an utility. It is being forecasted that more and more users will rent computing as a service, moving the processing power and storage to centralized infrastructures rather than located in client hardware. This is already enabling startups and other companies to start web services without having to invest upfront in dedicated infrastructure. Unfortunately, this new model also has some actual and potential drawbacks and remains to be seen whether concentrating computing at a few places is a viable option for everyone. Consumers are not used to renting computing capacity. The question of how to measure performance is already a major issue for cloud computing customers. This thesis demonstrates that current metrics for the performance of offerings by cloud providers are subject to imprecision and variability. Several surveys show that customers are concerned with the difficulty of predicting how the services that they have contracted for will behave. Moreover, switching from the traditional own and operate model to a service model involves replacing existing",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.707.6863&rep=rep1&type=pdf,[],
1 Autonomic Cloud Computing!,"Walker Davis, Davis Liu, Arpit Sheth",nan,"Cloud computing enables a variety of high-performance applications to be executed with limited investment from the user. Recently, the Cancer Institute of New Jersey (CINJ) created a content based image retrieval program that analyzes photos of blood smears to determine if cancer cells are present. However, this application is too computationally intensive for one computer to run in a short time frame, so it has been adapted to use CometCloud, a cloud computing framework developed by the National Science Foundation’s Center for Autonomic Computing at Rutgers University (NSF CAC). This method utilizes multiple servers in the cloud to run the image analysis algorithms and return an accurate result in a reasonable time period. Despite the improvement in execution time, the program would have been too difficult for users to take advantage of because it lacked a simple graphical user interface. To resolve this issue, a web application named CompariCell was created. On CompariCell’s graphical user interface, users select an image and adjust parameters for database comparison. The website passes input data to a remote back-end server, which accepts the transferred data and launches the Comet-Cloud and content based image retrieval programs. Finally, the output of the entire process is relayed back to the frontend server to be displayed on the CompariCell website. 2",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.259.7355&rep=rep1&type=pdf,"['autonomic cloud computing', 'image retrieval program', 'short time frame', 'limited investment', 'adjust parameter', 'execution time', 'image analysis algorithm', 'accurate result', 'blood smear', 'website pass', 'autonomic computing', 'frontend server', 'cancer cell', 'entire process', 'comparicell website', 'high-performance application', 'multiple server', 'national science foundation center', 'simple graphical user interface', 'cancer institute', 'remote back-end server', 'new jersey', 'nsf cac', 'web application', 'database comparison', 'reasonable time period', 'rutgers university', 'graphical user interface']",
Network implications of cloud computing,Joe Weinman,"Telecom World (ITU WT), 2011 Technical Symposium at ITU, IEEE","Abstract—Cloud Computing is often described as “resources accessed via a browser over the Internet. ”  However, this definition has become increasingly insufficient to characterize the breadth of applications and use cases for the cloud, and the networks that must support them. A broadening range of endpoints are accessing the cloud: browser-free device apps, multimedia endpoints such as video and game consoles, sensor networks, servers, and storage. The wireline and wireless network requirements—e.g., jitter, latency, packet loss, protocol support—for these uses vary, and imply that a variety of network capabilities are sometimes necessary: e.g., MPLS for quality of service via class of service to support interactive high definition video in the cloud; optical transport for native protocols such as Fibre Channel for data integration in hybrid cloud scenarios; route control for country compliance issues. Also, distributed topologies and optimized routing are required due to application latency constraints. Moreover, wireless sensor networks and hybrid cloud scenarios such as cloudbursting that require a variety of complex distributed data approaches are driving new transport requirements: guaranteed bandwidth, dynamic bandwidth on demand, and usage-sensitive pricing for fine-grained quantities and duration of bandwidth. Cloud Computing, either as an integrated service or in support of pure-play customers must drive service providers ’ international telecommunications infrastructure evolution as well as BSS/OSS.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.455.9776&rep=rep1&type=pdf,"['cloud computing', 'network implication', 'hybrid cloud scenario', 'optical transport', 'abstract cloud computing', 'sensor network', 'bs os', 'pure-play customer', 'wireless network requirement', 'use case', 'browser-free device apps', 'fibre channel', 'data approach', 'new transport requirement', 'network capability', 'protocol support', 'fine-grained quantity', 'latency constraint', 'country compliance issue', 'usage-sensitive pricing', 'native protocol', 'multimedia endpoint', 'wireless sensor network', 'game console', 'dynamic bandwidth', 'interactive high definition video', 'integrated service', 'packet loss', 'broadening range', 'data integration']",
Key Technologies of Cloud Computing Model,Li-fu Hsu,nan,"Abstract. Could computing is a new type of computing mode, it distributes computation task on the resource pool which consists of massive computers, so the application systems can obtain the computation power, the storage space and software service according to its demand. The understanding of cloud computing is developing and changing constantly, cloud computing still has no unanimous definition. This paper describes three main service forms of cloud computing: SAAS, PAAS, IAAS, compared the definition of cloud computing which is given by Google, Amazon, IBM and other companies, summarized the basic characteristics of cloud computing, and emphasized on the key technologies such as data storage, data management, virtualization and programming model.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.978.1638&rep=rep1&type=pdf,[],
Resource provisioning for cloud computing,"Ye Hu, Johnny Wong, Gabriel Iszlai, Marin Litoiu","in Proceedings of the 2009 Conference of the Center for Advanced Studies on Collaborative Research (CASCON ’09). ACM, 2009","In resource provisioning for cloud computing, an important issue is how resources may be allocated to an application mix such that the service level agreements (SLAs) of all applications are met. A performance model with two interactive job classes is used to determine the smallest number of servers required to meet the SLAs of both classes. For each class, the SLA is specified by the relationship: Prob [response time ≤ x]  ≥ y. Two server allocation strategies are considered: shared allocation (SA) and dedicated allocation (DA). For the case of FCFS scheduling, analytic results for response time distribution are used to develop a heuristic algorithm that determines an allocation strategy (SA or DA) that requires the smallest number of servers. The effectiveness of this algorithm is evaluated over a range of operating conditions. The performance of SA with non-FCFS scheduling is also investigated. Among the scheduling disciplines considered, a new discipline called probability dependent priority is found to have the best performance in terms of requiring the smallest number of servers. 1",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.369.9746&rep=rep1&type=pdf,"['cloud computing', 'interactive job class', 'resource provisioning', 'application mix', 'probability dependent priority', 'performance model', 'service level agreement', 'fcfs scheduling', 'important issue', 'allocation strategy', 'prob response time', 'scheduling discipline', 'server allocation strategy', 'heuristic algorithm', 'new discipline', 'response time distribution', 'operating condition', 'non-fcfs scheduling', 'analytic result']",
Sharing Cloud Computing Resources,"Thomas Bonald, James Roberts",nan,"We address the issue of sharing the CPU and RAM resources of a cloud computing system. Specifically, we argue that these resources should be shared according to proportional fairness instead of dominant resource fairness. The latter has recently been proposed as a desirable scheduling objective mainly because of its strategy-proofness property. We show that proportional fairness, which satisfies a weaker form of strategy-proofness that we refer to as scale-invariance, yields a much better resource utilization and outperforms dominant resource fairness in the realistic setting where jobs arrive and leave at random times.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.800.3806&rep=rep1&type=pdf,[],
Cloud Computing Storms,"Stephen Biggs, Stilianos Vidalis",nan,"Cloud Computing (CC) is seeing many organisations experiencing the „credit crunch‟, embracing the relatively low cost option of CC to ensure continued business viability and sustainability. The pay-as-you-go structure of the CC business model is typically suited to SME‟s who do not have the resources to completely fulfil their IT requirements. Private end users will also look to utilise the colossal pool of resources that CC offers in an attempt to provide mobile freedom of information. However, as with many opportunities that offer legitimate users enormous benefits, unscrupulous and criminal users will also look to use CC to exploit the loopholes that may exist within this new concept, design and business model. This paper will outline these loopholes and attempt to describe the perfect crime conducted within a cloud environment.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.460.7080&rep=rep1&type=pdf,"['cloud computing storm', 'credit crunch', 'new concept', 'mobile freedom', 'business model', 'cloud environment', 'cloud computing', 'colossal pool', 'many organisation', 'many opportunity', 'legitimate user enormous benefit', 'continued business viability', 'low cost option', 'pay-as-you-go structure', 'private end user', 'perfect crime', 'cc business model', 'criminal user']",
Use of Cloud Computing in Project Management,Sloniec Jolanta A,nan,"Abstract. The paper presents the possibility of using cloud computing in project management. Cloud computing is the most rapidly growing field of IT and is used in many areas of business activity. Modern companies and organizations carry out many activities in the form of projects. A research problem is to show the possibility of using cloud computing in project management and to draw attention to the risk of the use of this solution. The case study of two projects using cloud computing shows that it is possible and can be successful use of cloud computing in project management. The first project involved the transfer of ERP system in an international enterprise, and the other, a smaller one, involved the implementation of technical documentation in railway station reconstruction. The scope of the projects were different and the using of cloud computing were different. Finished projects testify to the fact that the project needs may impinge on the different ways to use cloud computing. And that the projects can be successful. Introduction. Cloud computing as a rapidly growing trend of IT development The idea of cloud computing originated in the USA in the 50s and 60s of the twentieth century. In 1960, John McCarthy stated that “the calculation may someday be organized as a public service” [1]. The term of cloud computing in the nowadays sense was used by Ramnath Chellappa in 1997",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.1004.7246&rep=rep1&type=pdf,[],
Triple Security of Data in Cloud Computing,"Garima Saini, Mtech Scholar, Bilaspur Gurgaon, Naveen Sharma, Bilaspur Gurgaon",nan,"Abstract—cloud computing is the biggest buzz in computer world now a days. It is providing excellent facilities by flexible infrastructure. Cloud computing is based on client-server architecture. cloud computing is a hub of various server and many database to store data. cloud computing provide many services to user which is reliable, efficient and low cost. As it is internet based technology security, data security becomes a big issue to the cloud data. Many issues like data authenticity, integrity, data hiding and availability. In this paper we introduce a mechanism to provide secure data. We combine three algorithm DSA, DES and Steganography to provide security of data in cloud computing.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.636.8907&rep=rep1&type=pdf,"['cloud computing', 'triple security', 'computer world', 'algorithm dsa', 'cloud data', 'low cost', 'various server', 'secure data', 'data hiding', 'data security', 'data authenticity', 'client-server architecture', 'many service', 'excellent facility', 'many database', 'abstract cloud computing', 'flexible infrastructure', 'many issue', 'technology security', 'big issue']",
A Comparison of Cloud Computing Platforms,Ikechukwu Nwobodo,nan,"Abstract—Cloud computing concept has overhauled the entire structure representation, required for the implementation of IT Infrastructure. This cloud computing approach is gradually eliminating the existing client server system and grid computing. The capabilities associated with the innovation of cloud computing have given rise to users to develop and share different applications on the internet infrastructure. This has also led to the ability to access data at each computer node anytime and anywhere across computer network without limitation of resource requirement or hardware demands. This paper explores the underlying platform that is used by computer architects to design and module cloud computing in order to satisfy the usage requirement. Existing cloud computing module and services can influence and shape the future of IT infrastructure and their development. A comparison of four cloud computing platform namely: AbiCloud, Eucalyptus, Nimbus, and OpenNebula cloud will be presented. Keywords-virtualization; iaas, saas, paas; VM; cloud computing. I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.972.114&rep=rep1&type=pdf,[],
Cloud Computing use in E-banking,nan,nan,"Abstract — In this paper, we examine how cloud computing is rapidly grows in government across the globe, from Europe to Asia to America. The concept of Cloud computing has spread rapidly through the e-banking. Cloud computing helping nations make great gains through addressing major healthcare, education, and other societal issues. Cloud computing is expected to be one of the fastest-growing technologies in the coming years. Business applications will be the largest market for cloud services pending, with a gradual transition from on-premise to cloud-based services especially for general business applications like customer relationship management (CRM) and enterprise resource planning (ERP). Banks are expected to enter the cloud computing arena cautiously, with no single cloud services delivery model being a silver bullet for best meeting their demanding business needs. Cloud computing can offer financial institutions a number of advantages.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.428.9633&rep=rep1&type=pdf,"['cloud computing use', 'cloud computing', 'customer relationship management', 'gradual transition', 'business application', 'general business application', 'silver bullet', 'demanding business need', 'single cloud service delivery model', 'societal issue', 'great gain', 'financial institution', 'resource planning', 'cloud-based service', 'major healthcare', 'fastest-growing technology', 'cloud service']",
Benefits Management of Cloud Computing Investments,"Richard Greenwell, Xiaodong Liu, Kevin Chalmers",nan,Abstract—This paper examines investments in cloud computing using the Benefits Management approach. The major contribution of the paper is to provide a unique insight into how organizations derive value from cloud computing investments. The motivation for writing this paper is to consider the business benefits generated from utilizing cloud computing in a range of organizations. Case studies are used to describe a number of organizations approaches to benefits exploitation using cloud computing. It was found that smaller organizations can generate rapid growth using strategies based on cloud computing. Larger organizations have used utility approaches to reduce the costs of IT infrastructure.,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.635.7450&rep=rep1&type=pdf,"['cloud computing investment', 'benefit management', 'cloud computing', 'rapid growth', 'benefit management approach', 'utility approach', 'larger organization', 'business benefit', 'case study', 'major contribution', 'unique insight', 'benefit exploitation', 'organization approach']",
CLOUD COMPUTING IN HEALTHCARE AND BIOMEDICINE,Mario Cannataro,nan,"Abstract. High throughput platforms available in clinical settings or in research laboratories, such as magnetic resonance imaging, microarray, mass spectrometry and next-generation sequencing, are producing an increasing volume of clinical and omics data that poses new issues in terms of secure data storage, models for data integration and analysis, and high performance computing. Cloud Computing offers large scalable computing and storage, data sharing, on-demand anytime and anywhere access to resources and applications, and it supports easy but powerful distributed computing models, for facing those issues. In fact, in the recent years it has been adopted for the deployment of several applications in healthcare and bioinformatics both in academia and in the industry. However, cloud computing presents several issues regarding the security and privacy of data, that are particularly important when analyzing patients data, such as in personalized medicine. This paper reviews main cloud-based healthcare and biomedicine applications; with a special focus on healthcare, biomedicine and bioinformatics solutions and underlines main issues and problems related to the use of such platforms for the storage and analysis of patients data.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.675.6943&rep=rep1&type=pdf,"['cloud computing healthcare biomedicine', 'patient data', 'research laboratory', 'omics data', 'secure data storage', 'bioinformatics solution', 'next-generation sequencing', 'mass spectrometry', 'main cloud-based healthcare', 'several application', 'data sharing', 'special focus', 'offer large scalable computing', 'clinical setting', 'new issue', 'high throughput platform', 'on-demand anytime', 'present several issue', 'underline main issue', 'recent year', 'high performance computing', 'biomedicine application', 'magnetic resonance imaging', 'data integration', 'personalized medicine']",
Comparative study between Green Cloud Computing and Mobile Cloud Computing,"Monica B. Harjani, Dr Samir, M. Gopalan",nan,"Abstract- While searching for information about cloud computing over the internet, I came across different computing keywords such as Green Computing and Mobile Computing. After so much of research on all these terms I myself tried to have the clear vision about them. This paper will help the researchers and administrators to have a clear understanding of Green Computing and Mobile Computing and the differences between Green Cloud Computing and Mobile Cloud Computing. It also defines the security issues and the solution methods to these issues. C I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.299.9348&rep=rep1&type=pdf,"['green cloud computing', 'mobile cloud computing', 'comparative study', 'mobile computing', 'green computing', 'security issue', 'solution method', 'cloud computing', 'clear vision', 'clear understanding']",
Security Algorithm in Cloud Computing,"Rimmy Chuchra, R. K Seth",nan,"Security during data transmission in cloud computing using TBDSA (Token Based Data Security Algorithm) along with its implementation is presented in this paper. The auto-generated token based certificate activation approach with SSL (Secure Socket Layer) provides the appropriate collaboration between the cloud client and the cloud service provider, so that user may become confident during data transfer by utilizing various cloud applications and services. The chances of attacks may be reduced by implementing this TBDSA. This designed algorithm takes less time to execute and increases the performance of the system.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.695.2494&rep=rep1&type=pdf,"['cloud computing', 'security algorithm', 'secure socket layer', 'cloud service provider', 'data security algorithm', 'cloud client', 'certificate activation approach', 'various cloud application', 'data transfer', 'auto-generated token', 'data transmission', 'appropriate collaboration']",
 Defining The Term Cloud Computing,"Atulay Mahajan, Sangeeta Sharma",nan,"Abstract — Cloud Computing, which once provided locally, has seen a technical and cultural shift of computing service provision to being provided remotely, and en masse, by third-party service providers. The data has now been placed under the protection of the service provider that was once placed under the security domain of the service user. Our data is no longer kept under our own watchful eyes as we have lost control over the protection of our own data at the hands of cloud service providers. While Cloud computing relieves various organizations from the burden of the data management and storage costs, security in general and the malicious insider threats in particular is the main concern in cloud environments. Insider threat has become a serious security issue within the organizations. The problem of insider threats has been analyzed in this research paper and work has been done towards the detection and conception of strategies to solve these malicious insider threats.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.736.4970&rep=rep1&type=pdf,[],
Brief Analysis of Cloud Computing Security,"Ping He, Jing Qiu, Fengge Shao, Ma Jie, Da Yu",nan,"Abstract. The safety issue of cloud computing arouses much attention recently. In this paper, it is firstly introduced the related concepts, then it is introduced the current situation of cloud computing as well as potential safety hazards and security reference model. The conclusion is drawn in the end of this paper.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.1032.767&rep=rep1&type=pdf,[],
Based on Cloud Computing Environment,"Lijuan Zhou, Hui Wang, Wenbo Wang",2012,"As an important task of data mining, Classification has been received considerable attention in many applications, such as information retrieval, web searching, etc. The enlarging volumes of information emerging by the progress of technology and the growing individual needs of data mining, makes classifying of very large scale of data a challenging task. In order to deal with the problem, many researchers try to design efficient parallel classification algorithms. This paper introduces the classification algorithms and cloud computing briefly, based on it analyses the bad points of the present parallel classification algorithms, then addresses a new model of parallel classifying algorithms. And it mainly introduces a parallel Naïve Bayes classification algorithm based on MapReduce, which is a simple yet powerful parallel programming technique. The experimental results demonstrate that the proposed algorithm improves the original algorithm performance, and it can process large datasets efficiently on commodity hardware.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.919.7096&rep=rep1&type=pdf,[],
Service Performance and Analysis in Cloud Computing,"Kaiqi Xiong, Harry Perros",nan,"Abstract — Cloud computing is a new cost-efficient computing paradigm in which information and computer power can be accessed from a Web browser by customers. Understanding the characteristics of computer service performance has become critical for service applications in cloud computing. For the commercial success of this new computing paradigm, the ability to deliver Quality of Services (QoS) guaranteed services is crucial. In this paper, we present an approach for studying computer service performance in cloud computing. Specifically, in an effort to deliver QoS guaranteed services in such a computing environment, we find the relationship among the maximal number of customers, the minimal service resources and the highest level of services. The obtained results provide the guidelines of computer service performance in cloud computing that would be greatly useful in the design of this new computing paradigm. I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.149.5001&rep=rep1&type=pdf,"['cloud computing', 'service performance', 'computer service performance', 'minimal service resource', 'computing environment', 'maximal number', 'web browser', 'obtained result', 'abstract cloud computing', 'service application', 'commercial success', 'computer power']",
Utilization Approach for Cloud Computing,J. K. Verma,nan,"Abstract — Last few decades have remained the witness of steeper growth in demand for higher computational power. It is merely due to shift from the industrial age to Information and Communication Technology (ICT) age which was marginally the result of digital revolution. Such trend in demand caused establishment of large-scale data centers situated at geographically apart locations. These large-scale data centers consume a large amount of electrical energy which results into very high operating cost and large amount of carbon dioxide (CO2) emission due to resource underutilization. We propose MADLVF algorithm to overcome the problems such as resource underutilization, high energy consumption, and large CO2 emissions. Further, we present a comparative study between the proposed algorithm and MADRS algorithms showing proposed methodology outperforms over the existing one in terms of energy consumption and the number of VM migrations. Index Terms — Green ICT, virtualization, cloud computing,",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.1004.6842&rep=rep1&type=pdf,[],
Simple Overview on Cloud Computing,"Jeevana Jammula, Swapna Goud. N, Vishnu Murthy. G",nan,"Abstract: There’s a reason why the buzz around cloud computing never seems to die down — concrete results are replacing the initial hype. Take for example the tech leader Cisco Systems, whose size and success wasn’t enough to shield its internal IT operations from one of the biggest headaches faced by IT managers everywhere. Citing his company’s own experience and corroborating industry studies, Tony West, Cisco vice president and chief technology officer, points out that approximately 70 percent of IT spending goes to just maintaining the existing datacenter environment. Finding the time and allocating the resources for new initiatives that further the organization’s overall success get the leftovers, to the frustration of IT and enterprise managers alike. But thanks to an ambitious private cloud project that began a couple years ago, Cisco is bucking this budgetary tradition. Reduced managerial overhead and other private cloud benefits have shrunk costs for routine maintenance to less than 50 percent of Cisco’s total IT budget, which represents companywide savings of hundreds of millions of dollars. Along with Cisco, many organizations are benefiting from private clouds. They are discovering that for security and compliance, the private cloud trumps the public cloud every time. What’s more, dollars can be saved. As outlined in a 2011 study by the Aberdeen Group, the private cloud saves a total of 12 percent combined annual costs savings over public clouds on a per-application basis. Keywords:Saas,Paas,Iaas,cloudComputing,cloud service,privatecloud[1]",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.258.6791&rep=rep1&type=pdf,"['cloud computing', 'private cloud', 'simple overview', 'public cloud', 'corroborating industry study', 'internal operation', 'organization overall success', 'managerial overhead', 'chief technology officer', 'private cloud benefit', 'annual cost saving', 'total budget', 'datacenter environment', 'routine maintenance', 'aberdeen group', 'success wasn', 'budgetary tradition', 'per-application basis', 'new initiative', 'many organization', 'couple year', 'ambitious private cloud project', 'cisco vice president', 'tony west', 'initial hype', 'enterprise manager', 'companywide saving', 'concrete result', 'tech leader cisco system', 'cloud service']",
The Application of Cloud Computing in the Digital Library,"Wang Yingchun, Xing Rui",nan,"Abstract: Analyzes the concept and feature of cloud computing，on the basis of this, proposes cloud computing for model of digital library and discusses the security issues, at last proposes a few question should be focused on cloud-based digital library.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.972.5768&rep=rep1&type=pdf,[],
Orleans: Cloud Computing for Everyone,"Sergey Bykov, Alan Geller, Gabriel Kliot, James R. Larus, Ravi Pandya, Jorgen Thelin",2011,"Cloud computing is a new computing paradigm, combining diverse client devices – PCs, smartphones, sensors, singlefunction, and embedded – with computation and data storage in the cloud. As with every advance in computing, programming is a fundamental challenge, as the cloud is a concurrent, distributed system running on unreliable hardware and networks. Orleans is a software framework for building reliable, scalable, and elastic cloud applications. Its programming model encourages the use of simple concurrency patterns that are easy to understand and employ correctly. It is based on distributed actorlike components called grains, which are isolated units of state and computation that communicate through asynchronous messages. Within a grain, promises are the mechanism for managing both asynchronous messages and local task-based concurrency. Isolated state and a constrained execution model allow Orleans to persist, migrate, replicate, and reconcile grain state. In addition, Orleans provides lightweight transactions that support a consistent view of state and provide a foundation for automatic error handling and failure recovery. We implemented several applications in Orleans, varying from a messaging-intensive social networking application to a data- and compute-intensive linear algebra computation. The programming model is a general one, as Orleans allows the communications to evolve dynamically at runtime. Orleans enables a developer to concentrate on application logic, while the Orleans runtime provides scalability, availability, and reliability.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.352.6381&rep=rep1&type=pdf,"['cloud computing', 'asynchronous message', 'simple concurrency pattern', 'orleans runtime', 'local task-based concurrency', 'several application', 'consistent view', 'data storage', 'elastic cloud application', 'distributed system', 'application logic', 'fundamental challenge', 'programming model', 'constrained execution model allow orleans', 'software framework', 'diverse client device pc', 'reconcile grain state', 'actorlike component', 'lightweight transaction', 'unreliable hardware', 'messaging-intensive social networking application', 'compute-intensive linear algebra computation', 'failure recovery', 'automatic error handling']",
Self-service Cloud Computing,"Shakeel Butt, H. Andrés Lagar-Cavilla,   Abhinav Srivastava ,  Vinod Ganapathy",2012,"Modern cloud computing infrastructures use virtual machine monitors (VMMs) that often include a large and complex administrative domain with privileges to inspect client VM state. Attacks against or misuse of the administrative domain can compromise client security and privacy. Moreover, these VMMs provide clients inflexible control over their own VMs, as a result of which clients have to rely on the cloud provider to deploy useful services, such as VM introspection-based security tools. We introduce a new self-service cloud (SSC) computing model that addresses these two shortcomings. SSC splits administrative privileges between a system-wide domain and per-client administrative domains. Each client can manage and perform privileged system tasks on its own VMs, thereby providing flexibility. The system-wide administrative domain cannot inspect the code, data or computation of client VMs, thereby ensuring security and privacy. SSC also allows providers and clients to establish mutually trusted services that can check regulatory compliance while respecting client privacy. We have implemented SSC by modifying the Xen hypervisor. We demonstrate its utility by building user domains to perform privileged tasks such as memory introspection, storage intrusion detection, and anomaly detection.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.248.5632&rep=rep1&type=pdf,"['self-service cloud computing', 'modern cloud', 'vm introspection-based security tool', 'client privacy', 'user domain', 'administrative domain', 'privileged system task', 'client inflexible control', 'memory introspection', 'storage intrusion detection', 'anomaly detection', 'new self-service cloud', 'privileged task', 'per-client administrative domain', 'administrative privilege', 'complex administrative domain', 'xen hypervisor', 'system-wide domain', 'system-wide administrative domain cannot', 'client vm state', 'client vms', 'virtual machine monitor', 'useful service', 'cloud provider', 'regulatory compliance', 'trusted service', 'client security']",
Security issues in Cloud Computing,"Kalyani D. Kadam, Sonia K. Gajre, R. L. Paikrao",nan,"It is very important to take security and privacy into account when designing and using cloud services. In this paper security in cloud computing was elaborated in a way that covers security issues/concerns and challenges, security standards and security management models and Digital Signature with RSA encryption algorithm to enhance Data Security in Cloud. –Security issues/concerns indicate potential problems which might arise. –Security standards offer some kind of security templates which cloud service providers (CSP) could obey. The most promising standard for the future would be OVF format which promises creation of new business models that will allow companies to sell a single product on premises, on demand, or in a hybrid deployment model. –Security management models offer recommendations based on security Standards  best practices –Digital signature with RSA algorithm, to encrypting the data while we are transferring it over the network..A digital signature or digital signature scheme is a mathematical scheme for demonstrating the authenticity of a digital message or document. 1.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.1017.3870&rep=rep1&type=pdf,[],
